state,action,value
492,5,-280.05217403981845
472,3,-39.4156798790296
492,4,-180.8726195728748
392,0,-50.71417672154624
392,4,-104.28304683066206
492,1,-140.9669119703949
472,5,-69.41918590621282
476,5,-20.810456247174542
476,0,-20.007470138869994
472,4,3.6635657645285047
476,3,-23.629759303207365
476,4,-29.497556324422
376,0,-1.907132731262899
476,1,-20.761193934656504
432,0,-108.08524454569745
432,3,-116.77786928137778
432,4,-109.7697118271398
332,0,-102.88394003716604
432,1,-112.80907490486246
452,3,-93.62555422812584
452,0,-85.94166646758858
452,2,-98.56557139402537
452,4,-139.20973053575798
352,0,-120.21685647062611
252,0,-59.898298041205344
252,5,-85.840912607749
272,3,-49.49372134810579
272,4,-62.026125229951205
372,1,-34.572872644989495
272,0,-55.22359771205685
372,4,-31.5614369985102
272,5,-54.431452440054436
172,0,-6.479302402776093
272,1,-57.30716729179369
292,0,0.529504301721266
392,1,-54.786640488718206
292,5,-41.50161917420581
272,2,-0.5726132580052147
372,3,-28.009075589714644
372,5,-45.301405961983676
372,2,-26.897116980493266
392,3,1.5787443449156437
444,0,-95.9935670047222
444,5,-98.82227850893017
424,2,-5.503495427782445
444,3,-86.44852689681878
424,0,-121.62527426442007
424,5,-224.37668113667655
324,0,-74.18477716457076
324,3,-84.87594321356386
424,1,-105.3519907214027
324,5,-94.80281329210702
424,4,-142.58907581983775
424,3,-130.78157575624854
444,4,-106.1894571274109
444,2,-91.74127102699919
344,0,-90.29129645178591
324,2,-83.6824977156571
444,1,-0.336183170857235
344,5,-100.27997857009967
244,0,-40.24408298994018
144,0,-43.41282892530877
164,3,-36.23993858145646
302,4,-119.19004939848887
402,1,2.042008441805653
402,0,-88.70149464736335
402,2,-96.7550929504027
302,0,-73.35255783173915
402,4,-100.0875215196197
302,5,-137.08469401569042
402,3,-98.95878944830416
402,5,-120.98966318195792
302,3,-84.1256559505183
202,0,-91.44523483391285
222,3,-9.342137938258382
242,3,-30.505099451373567
142,0,5.366912674922092
242,1,-41.91493468985051
242,5,-52.62624794716744
342,1,-27.278205006720665
322,2,-15.316330647775036
322,3,-46.21742504303947
462,0,-154.75378680974796
482,3,-92.78453772359293
462,2,-3.717968674535561
462,3,-123.81246234414402
362,0,-91.07636874540374
382,3,3.5343975127481175
482,1,1.5082491346037552
482,5,-89.2664002173962
482,2,-83.22615711697598
482,0,-87.59411074810828
482,4,-102.49653571556298
382,0,-58.3347694770671
462,4,-129.04643746696848
462,1,-127.5240035978377
462,5,-312.70723178186387
262,0,-47.871848229330375
162,0,-110.82332103121658
262,1,-59.354549112079226
62,0,-15.490485132467024
162,1,-130.01573407116013
42,2,-199.3117428022731
142,1,-142.0781855495213
142,4,-99.77618605637733
42,0,-0.2573793728789243
42,3,-132.7516200131229
222,2,-13.676647770137517
122,0,-8.511118974228328
122,5,-14.719357638784162
222,1,10.301553300382986
428,4,-152.079561010765
448,3,-90.4411782227756
448,0,-93.73311882627581
348,0,-105.26916094955374
448,1,6.887277440913301
448,2,-93.40764372941712
448,4,-101.37658064128878
428,2,5.546569846673927
328,0,2.3343166048232797
428,1,-88.78447897321703
428,0,-115.47712256402167
448,5,-95.51288956002028
348,2,-90.136115371042
428,5,-110.39828159460262
328,3,-121.8252528905889
328,2,-115.74875219006871
428,3,-95.82672877198034
248,0,-41.17207372297135
148,0,8.183675236694329
431,0,-48.61333134182415
451,3,3.7279006988891967
451,4,-51.63083495622986
451,0,-59.61520471975119
451,2,-59.67789714771884
431,2,-45.53236365729171
431,3,-56.78647342502534
431,5,-57.49359981283475
331,0,-52.851332895211044
431,1,4.761639939046119
431,4,-50.96251867217102
351,0,2.7453269698764813
351,5,-66.63870377144606
351,2,-47.05589745078965
251,0,1.671709672140892
351,1,-39.090481737736496
451,1,-46.0640948121296
451,5,-58.15468019202328
231,0,-33.982156236769114
231,4,-42.21255521239471
331,1,5.870957378858569
331,3,-52.163718640620274
384,2,-40.98061675878555
284,0,-77.81554479202379
384,1,5.81796118999369
484,1,4.162127223667268
484,0,-103.58663954281566
484,5,-114.5154244041768
464,2,-3.796389983607656
484,3,-104.79176076413276
484,4,-123.77474432087816
384,0,-49.56138093197235
484,2,-102.10765318805431
364,2,-129.02656797637633
464,1,-125.65871387505005
364,0,-125.84414141615977
264,0,-101.13475576181136
284,3,-71.48902411455043
464,3,-127.47584375937352
464,0,-124.34712962200031
464,5,-129.285968048271
464,4,-162.24829822111417
364,4,-192.80075708449388
466,3,-53.69030421939001
466,0,-60.05783360834348
466,5,-78.91029689184427
486,3,-82.89384677364251
486,4,-116.02960347209691
486,0,-102.85995983956467
386,0,-96.41798569841282
486,1,-5.0434806814830795
486,5,-87.30119331260754
466,2,-56.700661127775824
366,0,-97.85119578122018
466,1,-5.022437912206317
466,4,-99.55268345363918
366,4,-55.12507701457825
486,2,-85.50101557612527
266,0,-27.905549806170608
366,1,4.69086565299816
386,3,3.438549218566406
286,0,-0.2669567309468124
186,0,-28.33300285774108
86,0,-19.24854428255285
443,0,-76.16283894450585
343,0,-138.94723617235223
443,1,-7.721112434071963
423,2,-97.15150897087143
423,0,-71.06836374831789
443,3,-54.6453735253317
443,4,-74.97633911055449
443,5,-80.1997448865275
343,4,-203.14652740288025
423,4,-99.95736814046485
323,0,-111.30921818529045
343,3,3.9531806485043504
343,5,-240.1939433573575
443,2,-78.62357694774698
423,5,-116.70165799550401
423,3,-85.80368634575726
323,5,-114.60513228306765
423,1,-0.0036818318494146463
243,0,-65.5575166700018
143,0,3.9117253035622306
43,0,-6.417310520821073
411,0,-13.556186180950426
411,5,-27.410017738738507
311,0,9.072678885640308
411,1,-14.56386057105961
411,3,-10.942606014685683
411,2,-15.524895112666023
419,5,-15.76738943346154
419,0,-8.162572839714954
319,0,-15.134224960784488
319,2,-10.957712525351269
419,1,11.353868585156189
419,4,-20.6841590547439
319,4,-18.698826447367505
419,2,-14.454800950564808
419,3,-11.160191969185139
411,4,10.153570535042626
311,5,-28.02233945323498
311,4,-37.883242599986644
491,0,-125.4198540594818
491,5,-147.35223306862218
391,0,-115.83458925821145
491,1,-123.2983006887321
491,4,-222.01641187892076
471,2,-75.60049180735537
471,0,-77.64340859287866
371,0,-60.90620100002569
371,3,-77.79441423902348
471,1,-6.500065448722344
491,3,-11.746983717232522
471,4,-82.58481060200822
471,3,-79.80687661614533
471,5,-96.82791570127671
271,0,-116.23427142109477
371,1,-59.483990674167764
491,2,-125.53714785092609
497,0,-2.4656840409547245
397,0,4.352565092998123
497,1,15.146514998091988
477,2,13.993521696645864
477,0,-2.0053186284696682
377,0,11.110648324379504
377,4,-29.745456984094055
477,1,-0.22835770852237125
477,3,-5.301798971941684
477,4,-7.828271904403668
473,4,12.850531696900598
473,0,-14.53519600163211
473,5,-25.95139717023933
373,0,11.611927801204367
273,0,10.47563287091625
373,1,-19.998757830134007
473,1,-13.380301786863992
493,3,9.869131718599386
493,0,-87.57670327772179
493,4,-94.43688609863233
393,0,-97.08387762959897
393,2,-105.03013200456806
493,1,-86.86751074252561
293,0,-75.62488798300728
393,1,-92.87526782686535
373,2,-13.266028363029255
493,5,-92.73596168371277
473,2,-8.890623811167746
473,3,-12.539031208959019
373,5,-23.196493365286567
253,2,9.319133516732647
353,1,-2.278776634792354
253,0,-63.24591901252145
333,2,-78.16525924991048
333,4,-98.08935757588702
253,5,-61.83829991633509
233,2,8.21578899936152
253,3,-48.97762866309923
468,0,-119.41776321289596
488,3,-114.00399397715375
488,0,-128.85680394423989
468,2,-1.9367887377667112
468,5,-147.77024701948957
468,4,-284.30736816476883
488,5,-115.03153854260474
488,2,-114.15300978999024
388,0,-108.72530404362986
488,1,3.928665734155964
388,4,-152.044364067311
488,4,-161.28179880922295
288,0,-147.76874893679886
188,0,-122.20804728089897
288,1,-3.6240438692609
288,4,-154.4079529322318
388,1,-126.82951567428323
468,3,-200.78357744636025
368,0,-114.79365385950273
468,1,-126.71460436782012
268,0,-103.62906627506278
368,1,6.859092130679165
168,0,-114.53807758168266
148,2,-68.97088018154895
48,0,6.7507583183138635
148,1,-60.06527748943233
48,3,-88.96144290454089
248,1,-45.465133070060205
348,1,8.174585288613978
164,0,-46.63317472774751
264,1,-116.84222586991929
164,5,-57.7022869193908
64,0,4.089516960842183
164,1,-38.78637214770745
264,4,-101.9638885353583
364,1,-0.4171177216165248
264,5,-173.39930079391584
164,4,-57.162358540647816
184,3,-17.873741665882783
84,0,-15.40428891760554
184,1,7.926333653286042
184,4,-31.319244418955183
284,1,7.014071373816982
184,0,-19.982165313704215
284,2,-83.18606751073318
184,5,-26.94248725460982
184,2,-16.07546106010815
264,2,5.327319058041305
144,2,5.784568862947258
44,0,0.7679749975196586
144,1,-49.783702797323635
144,4,-41.689783629853046
244,1,4.6733060019947805
264,3,-100.9751242794029
384,3,-42.439512108059276
384,4,-57.61004705668224
64,5,-103.06148067049722
44,2,-115.27869535081008
44,1,-145.5874259138382
44,3,-85.61656914683245
44,4,-110.31732041777589
144,3,-36.38862937839476
344,1,-78.38973739969948
224,0,-51.127266716159426
324,1,2.5522497541881397
426,0,-134.21293222873018
446,3,-116.30884527876383
446,4,-126.96575235880456
446,0,-121.36027843980665
446,2,-147.39108796134002
346,0,-103.65586831260482
446,1,1.6658525801690638
426,2,-6.359264526358666
326,0,-131.19063783609644
426,1,-125.92079796764192
426,3,-146.01477557435933
426,4,-126.32532365935245
446,5,-159.40800638076445
426,5,-388.17946664368094
246,0,-49.20769659810745
146,0,-121.39402725227374
146,5,-113.44465460582495
146,4,-110.2399112531495
46,0,-3.698881718299897
66,3,-112.06270439496794
166,1,-31.239296812028428
266,1,6.053239785072423
166,0,-29.35238589647777
66,0,-111.06980226987822
86,3,-18.126202226851824
186,1,8.271072757514492
86,1,-18.22861264269745
186,2,-24.839752267013967
86,2,-18.576834987427908
86,5,-27.04696665180431
286,1,-113.0202713736909
266,2,-46.41927644944585
386,1,-97.25938449616385
441,5,-131.19414232569068
441,0,-162.65095670986815
341,0,-118.85537775378371
441,1,-7.382684900247107
421,2,-124.60714854532345
421,0,-130.39604685643036
321,0,-116.3092783158917
321,3,-109.58971014641065
421,1,-5.418304655609202
421,5,-133.6838246310992
441,3,-125.78944941847355
321,2,-115.25270335534643
341,3,-107.01805803126375
241,0,-42.476130831098565
221,2,-33.7878558214716
321,1,4.460648163836083
441,2,-125.96341772197952
441,4,-143.58716330315363
421,3,-144.90016386178118
421,4,-316.2795190469799
321,5,-110.93790681501768
321,4,-153.5652695670151
141,0,-94.7586852075819
41,0,-4.90183941940608
413,0,-87.62536027433968
413,3,-88.9122014925754
313,0,-167.4359454979526
413,1,-7.285509733909586
413,2,-73.61442078483398
413,4,-79.69745885142632
413,5,-172.5233400473613
213,0,-119.92064338807046
213,4,-137.39149876212954
233,3,-62.32229704234397
153,0,-32.28308574767595
253,1,-71.03895132774728
153,5,-59.856468899825444
273,3,-33.126270329969614
173,0,-29.459616697556303
273,1,-41.86825001042951
373,3,-19.807051354943496
273,4,-27.881930931935333
393,3,9.28865259876367
193,0,8.22160101644559
293,1,-69.72357762566277
293,2,-81.39829622394707
193,5,-80.7318202106159
293,4,-91.06967704288262
193,4,-106.11141795042631
293,5,-74.43064376266167
93,0,7.0091265442643005
454,1,-11.097248439052315
454,5,-134.436546895166
354,0,-116.16739802075348
434,2,-109.94745182626656
434,0,-131.56374578091555
334,0,-94.39554592538417
434,1,-6.485262616829294
454,3,-134.1449076734948
454,0,-127.23643297273243
454,2,-137.5542328859786
434,4,-119.83446378621548
334,4,-92.92841973952893
434,3,-115.53205006196703
434,5,-129.76313149642678
454,4,-126.17413790927895
391,1,-3.585617961276648
291,0,-95.42142543660862
291,3,-93.09479425982117
371,2,-4.73574473063143
391,3,-109.19435381919622
291,4,-103.96069541144746
391,5,-204.2866148845365
291,5,-93.48702319615563
391,2,-110.86608492458056
271,2,-7.028948534599255
251,2,-59.773993092793944
151,0,0.6755480775552861
151,3,-53.861378357075274
251,1,-66.6366437638483
171,3,-0.46691989971442427
151,2,-60.39861000419034
231,2,-38.198976958735905
131,0,5.931207862310702
231,1,-23.08872985858864
131,4,-95.38407602187627
231,5,-31.058728628561216
351,3,-74.6392203988646
331,2,-44.305840695448765
351,4,-70.35184863646985
331,4,-52.44389656995818
331,5,-48.2822444895106
131,2,-93.92633679302715
251,3,-49.964813005808246
282,0,2.4296424233594713
282,2,-77.72381821514924
382,1,-64.04703096190804
282,4,-144.76803970502695
382,2,-61.01836825778355
262,2,-89.06586459101497
242,2,-39.71140313469176
262,3,5.6927011482705785
362,1,4.6150183910858855
282,3,-115.13766170001287
382,4,-94.09392456289058
322,4,-52.898154466834114
322,5,-28.68730262407316
222,4,-16.204130724849307
202,2,9.333440906094491
102,0,-25.66609714578192
202,1,-73.73943904762507
202,5,-102.07562244333151
302,1,7.841009820970842
122,3,11.438318077438543
22,0,-99.14158247369375
122,1,-2.384807962957127
2,2,-2.311161178410675
22,3,12.121505043774032
102,2,-6.391234988436251
102,3,-7.528190025014537
102,4,-7.959429749589436
2,0,-2.563335044152663
164,2,6.923252955320729
144,5,-76.16074085519173
84,1,-15.512332186148226
84,5,-25.7398794084139
284,4,-77.85417536793851
384,5,-55.622509010821254
364,3,-178.5533429169759
284,5,-70.4193187051772
364,5,-131.30492161765414
401,1,-2.0983524748404703
401,0,-98.97805537351333
401,4,-134.25102268461455
301,0,-94.84251033046885
401,2,-104.59477333113692
401,5,-102.13698339133201
401,3,-93.31004920228489
301,5,-103.14128443498218
301,4,-89.12189822631132
201,0,-46.42986028712906
93,1,-69.92163270805017
93,5,-77.37912253147904
93,4,-100.60843845088374
193,1,-74.63041290164016
193,2,-127.28523366883111
93,2,-76.21324893506333
73,2,5.380749828425314
173,1,-48.51769955490021
173,5,-61.380100775169815
173,4,-53.941430149953305
73,0,-57.59286754763611
73,4,-79.21839705823963
93,3,-47.166927059916176
173,2,6.300185693635083
153,2,-0.17668421329893574
153,4,-64.36775633282915
353,4,-59.60597145324595
253,4,-67.59435886144975
53,0,-128.99848641237696
53,3,-120.04062436338528
153,1,-44.002477384428445
173,3,-30.20384502590237
153,3,-47.27199254295939
73,3,-68.24966970745977
73,5,-74.56354419336144
53,2,1.7199509994804167
53,4,-118.68523854676772
53,5,-125.79314484336024
233,4,-77.14561651095956
73,1,-69.09506869645759
293,3,9.336475874388162
273,2,-18.15545480381904
354,1,-110.97898013680557
254,0,-73.60621585668146
354,2,-118.94441297826666
154,0,-107.4359676335545
254,1,-64.91993409932881
254,5,-73.24601954777987
354,4,-227.78213114640485
354,5,-120.5070701747466
234,0,-64.57382159202191
134,0,0.2804645743815258
234,1,-54.11142205430717
334,1,0.5281327697903835
254,3,-75.94099153673366
214,2,0.0026271917944265012
114,0,-127.98229710761058
134,3,-100.31406482682796
114,2,-4.854125798884026
214,1,-95.09410474946364
14,0,-140.59341740958135
114,1,-131.88451208356568
314,1,-1.809684869927912
214,3,-83.72207290228287
214,5,-98.77734530419572
114,3,-140.18658525489928
14,4,-127.01082899569597
114,4,-335.6255099859511
114,5,-142.33518840246163
214,4,-103.58461049211576
449,1,1.954485598832976
449,0,-121.32271839527023
449,4,-134.34708632219127
449,5,-172.230619218245
449,2,-121.07600686018593
429,2,-4.139703354772064
429,0,-125.79176519221149
329,0,-98.99272456662831
429,1,-138.6236804231656
429,5,-133.70514466987817
449,3,-122.18700419864648
349,0,-118.12735996526015
349,2,-113.35987777380855
429,3,-149.7611634490729
429,4,-130.58968414400036
329,5,-96.69975080114357
349,4,-112.23923371582357
319,1,12.534998979185916
219,0,-7.342158951396321
219,5,-15.85119862905635
219,3,-5.425738801293712
319,3,-10.131255025204846
219,4,-12.357474157530849
119,0,9.248648081898635
139,3,-12.481131460512755
239,1,6.148170847586804
139,0,13.852019406803262
219,2,13.870083022710777
219,1,-4.455114966126822
311,2,-18.161256928057753
211,0,8.032850533881296
311,1,-22.601819625947503
211,5,-32.354751120965346
111,0,-119.20295818666722
211,1,-34.81821761947608
211,3,-24.241140177843228
231,3,6.931358391050544
211,2,-26.774660895540666
211,4,-34.17666231717744
31,0,4.367832801072565
131,1,-80.58313978747952
31,5,-115.90421100895257
377,5,-27.910353160135273
277,0,9.446411248244239
377,1,-36.49191196207936
397,3,1.9717713869663935
297,0,8.195785092411262
397,1,16.351175750638767
397,5,-2.421918746796828
397,2,5.754535075271802
377,2,-6.022550915170992
377,3,-14.882550880685596
497,5,-9.843371497274399
497,2,3.382529748946407
477,5,-2.659647937642765
493,2,-85.23610273048355
393,4,-93.21612629321089
393,5,-91.46194418440442
373,4,-20.468749917772172
273,5,-35.67191409459283
333,5,-206.1842913455009
193,3,-93.23427111184407
498,0,-10.23316667662304
398,0,-9.219936416256836
498,1,10.085670702819169
498,4,-16.15855477041645
498,5,-17.327125335608738
478,2,8.955270422149034
478,0,-15.286399302930034
378,0,-10.5580724695
478,1,-11.17138976734692
478,3,-19.97191997793077
478,4,-20.943363391416867
498,3,-7.98468340929495
498,2,-10.154829384444282
398,4,-17.538918665302305
398,2,-12.521941409264224
298,0,-10.8966214315861
198,0,11.648117070365616
298,1,-4.252379655574925
398,1,-7.895062989687213
378,2,-11.134826190559165
474,4,7.786472007257852
474,0,-13.41701040125612
478,5,-18.595794014693933
374,0,6.748895449835349
474,1,-13.626864355797927
298,2,-4.316755298547097
98,0,10.51624993774765
98,4,-29.113017957873282
86,4,9.399807978584722
98,5,-24.827591899752537
166,2,7.195000273852636
186,3,-24.26425519052157
186,4,-27.91284422237548
66,1,-112.24176143194481
66,5,-111.76641708050305
46,2,-122.23353674072445
46,1,-163.08603257097852
46,4,-143.98811645527104
46,3,-127.31926284379186
146,1,-105.15468708461836
246,1,-32.50057736037066
246,5,-60.02917395779147
346,1,3.586909993817962
346,4,-118.16125414178269
226,0,-46.40676317761941
326,1,-4.355814156676177
452,1,-7.071898237071863
432,2,-14.185691140606457
232,0,-71.20120445355047
332,1,-3.710431998180156
332,4,-101.572396150202
252,3,-59.71850678071678
252,2,-1.57806496265362
152,0,-2.9853904358458103
252,1,-63.34437647706914
352,1,-137.6357176124542
152,4,-236.72165975062612
332,2,-105.88195455753274
332,5,-99.4513425696859
152,3,-106.31503793958764
152,5,-129.37225110484178
52,0,-4.960494348119271
72,3,-10.443711926262514
172,1,-111.88944166387473
152,1,-111.93686295962789
352,2,-114.13625260624778
292,3,-41.49505532327076
192,0,-1.4409940567798327
292,1,-35.00989945011245
292,2,-47.98027210607479
192,2,-82.23988899295243
192,5,-152.02471875696241
392,2,-49.196542249209074
392,5,-49.42628109752799
418,5,20.0
418,0,18.592304932385773
318,0,18.780268653832806
218,0,17.59037905933378
118,0,16.3310731296108
18,0,15.089836059074559
18,4,-25.086010801462766
2,4,13.883598306129194
2,1,-10.325100748075435
22,1,-100.64933180117148
22,2,-112.39335227994769
22,4,-72.16379475585352
22,5,-104.29241539438252
122,2,-6.612506994230807
374,1,-31.570153050908914
274,0,-49.103147214178776
274,5,-54.67100007151059
374,3,-28.33696621227933
394,3,5.723461193962905
494,1,-98.64330175828522
494,0,-100.85092266730652
494,4,-109.66268611633895
494,2,-96.77059006142387
394,0,-29.327059712418343
394,4,-37.65376324166173
474,2,-12.397410738782632
494,3,4.5816577964892655
494,5,-103.91213013532513
394,2,-33.57554413547821
394,5,-40.24660544455613
294,0,4.654747171366401
274,2,3.694675402244339
254,2,2.5675670570853644
274,3,-59.98424526869306
194,0,3.5648627165950546
294,1,-26.172397671283296
68,3,5.155985754807387
168,1,-118.1363037419916
68,0,-125.63161627387416
68,4,-123.88776432298707
68,1,-131.16328603674148
68,5,-124.71647742749069
268,1,-110.50780080024775
248,2,-41.26868210374545
148,3,-58.557445533624715
148,5,-98.74173992717175
168,3,6.882356489207154
268,4,-105.96759605962372
48,2,-85.43443872111419
48,1,-81.18764818049712
148,4,-88.1592610177624
188,3,4.968764847591105
88,0,-145.839252455106
188,1,-127.02139807018227
168,2,-116.56772200518984
88,1,-140.60983564917387
88,3,0.03345656655329278
168,5,-115.11739157608989
88,5,-142.06867804342713
188,5,-136.301587282854
88,2,-132.05494444046477
188,4,-171.13599881800394
188,2,-122.46607132592094
288,2,-145.28241932485167
288,5,-210.11898056543248
406,0,-77.50759059462442
406,5,-104.54068433653728
406,4,-87.48071639636788
406,3,-64.62616196775782
406,2,-80.8965931499572
306,0,-124.4175774618737
306,4,-157.15289031770277
406,1,-7.166900962564948
306,2,-121.42228126819076
206,0,-75.9508355115759
226,3,-47.00166140026303
226,4,-58.775524965229245
126,0,-102.83636750801413
226,1,-50.97996426535192
26,0,-97.71652947617555
126,1,-6.305142561460059
246,3,-39.50319406886981
246,4,-66.64802945663695
166,3,-38.61695860270729
146,2,5.524772313757991
166,5,-30.37632533084549
266,4,-27.40286905041151
246,2,4.94574673364711
266,3,-50.965790217841636
286,3,-142.64387487129738
286,2,-168.98065172395354
286,4,-154.26444893322673
386,2,-70.5280573078358
366,2,-60.114609636929764
182,0,1.3816597506884396
282,1,-107.37947048003093
182,5,-63.89866383451355
282,5,-79.19390897472304
162,2,-0.9834812710426591
182,3,-58.30930649687609
182,2,-56.74342138231151
62,1,-62.609394134646024
42,1,-213.76268278977966
42,5,-353.7986297750977
62,3,-72.37148327146161
262,4,-50.919177396429106
362,2,-98.59480615192727
382,5,-70.58385942148219
82,0,-4.804006328413537
62,2,-48.77187289631515
62,5,-69.9797876712377
62,4,-60.914406407161096
42,4,-107.06981390400794
412,0,-113.7482896205997
412,5,-157.08445982930073
412,3,-112.14354066342827
312,0,-93.69053886314038
412,1,-17.742621609892808
412,2,-104.77649452528043
212,0,-68.40175954802008
312,1,-7.96095241251756
412,4,-110.45810573471682
312,5,-101.35564178228829
312,4,-99.44857219614853
212,5,-75.98619189844041
232,3,-73.48590257502732
132,0,-3.494867527445424
232,1,-70.90349772567298
132,2,-90.69020859224061
232,4,-74.0470884322687
232,5,-81.09194789979111
212,2,-53.66711154547175
354,3,-1.8641013555262171
334,2,-95.27858463573745
334,3,-89.79174410299939
174,0,-107.08474533229654
174,4,-122.67582771007406
274,1,-49.676730747995954
154,2,1.2314261863506402
54,0,-0.8876189479731482
154,1,-107.88257412977255
254,4,-75.82606145005246
234,2,1.5429001124240886
334,5,-106.42798079166688
294,3,-29.891854028961273
294,2,-40.92273235422176
394,1,-27.697160782844264
474,3,-11.089856269966063
274,4,-47.01337663231225
194,3,-74.22488824333104
94,0,-2.3490401775752656
194,1,-76.8154343352429
194,4,-91.90563968745249
294,5,-45.04991614072176
374,2,-25.163029988380035
174,5,-94.54901907488768
438,1,-33.6401590014898
438,0,-10.572133766785495
458,3,-69.4642996061829
458,0,-71.8970194615443
458,2,-67.21900846529181
458,5,-73.2315305807175
438,2,-51.36164522450807
438,4,-51.33128300953493
358,0,-41.34567283073917
458,1,-33.03298251274848
458,4,-69.34653148341368
438,5,-63.70422397392215
338,0,-35.166068790424916
258,0,5.90245799368686
158,0,-44.22052269829193
58,0,-51.71918651630387
58,5,-73.85145444598636
78,3,-55.00394903886888
98,3,-48.50599274000746
98,1,-20.52630226834436
98,2,-15.505992280471375
198,1,-3.6663430781134503
66,2,6.560383198411855
166,4,-35.79977705514269
146,3,-119.29409422389817
266,5,-48.91455905916258
228,0,-27.92911852399111
328,1,-133.78847831990933
228,4,-29.982220120638942
128,0,9.473172169580728
228,1,-14.857546581530883
348,3,-88.09175135856142
228,5,-25.73165947383973
328,4,-106.56820049244155
248,3,9.396088063721203
228,2,-21.88077420516795
268,3,8.13313769875014
168,4,-112.62360169277252
88,4,-131.4498655531489
68,2,-119.42541149274251
268,2,-112.38765803756742
288,3,-149.27045938057026
162,3,-130.82253862704871
142,2,-133.00173829142344
162,5,-193.2100547938917
162,4,-88.24144233817859
262,5,-87.53296740373113
242,4,-59.56347600087672
222,5,-27.865324968696616
82,3,-116.22775610193268
82,1,-232.4942304710189
182,1,-76.27790984948724
142,3,-139.81097739518887
142,5,-110.1962651314934
82,5,-189.8869478172312
82,2,-179.0240157515323
362,3,-72.37140856301045
362,4,-68.2998012249437
362,5,-56.938586157817745
496,0,-21.03322025302683
396,0,-17.792717118612572
496,1,5.720626033317481
496,2,-26.314963088276986
476,2,4.6479879895447205
276,0,-11.559060743915175
376,1,-85.65828333018011
276,4,-1.4125700149074454
296,3,-1.4478057430175442
296,2,-10.25343184147015
196,0,-9.743027158263198
196,2,-7.626269412802527
96,0,0.21925417384472734
84,4,9.042372051949462
84,2,-14.135994271754484
96,5,-0.9781199592715483
96,4,-8.567264757354398
244,2,-44.26280341864577
286,5,-341.4801337628825
386,4,-155.17236734726796
366,3,-87.02066464597186
186,5,-42.592670751440096
389,0,-94.60007649055471
489,1,-2.8155146376351357
489,0,-111.45620402585355
489,2,-110.56755105613044
489,5,-111.27800648646517
489,4,-120.61281356595237
469,2,-10.381395241585698
369,0,-132.37833936349023
469,1,-124.8185087272789
469,0,-121.53002863317835
489,3,-109.57521051483978
469,3,-126.85865647667477
469,4,-127.26699722385521
469,5,-248.59563815918807
369,3,-112.79925442621807
269,0,-104.21997252406824
249,2,-47.36248236458804
349,1,3.720704543108924
249,0,-54.63039109916238
149,0,3.973283999486836
249,1,-42.088033997078895
249,5,-53.38432540465443
249,4,-68.06744747317245
229,2,-37.10718987951195
329,1,2.2046360954603843
329,3,-93.72109845061398
229,0,-23.196952886784086
209,2,-43.67445155303462
229,3,6.044208800246356
329,4,-99.74870729641813
9,0,-1.327480155229705
109,1,-51.14270878910493
9,5,-158.0663207604459
9,3,-128.48393009983369
